id,Theme,Enabling condition,Minimal,Key Factor,Question,Definition,Guidance,Follow up question(s),Examples of strategies to address gap in key factor
1,Motivar,Beneficios,Económico,1. La restauración genera beneficios económicos,• ¿Se espera que la restauración del área objetivo genere beneficios económicos que resulten en un impacto neto positivo financiero o económico a nivel de toda la economía en relación con el uso actual de la tierra? ,"Se espera que la restauración del área objetivo produzca beneficios económicos (por ejemplo, diversificación económica, daños evitados, nuevos productos comercializables) que creen un impacto financiero neto positivo (beneficios privados) y/o un impacto neto positivo en toda la economía (beneficios públicos) en relación con el uso de la tierra actual. Nota al margen: “impactos económicos que se refieren a los beneficios ambientales que funcionan como bienes públicos, o a los impactos económicos en toda la economía que capturan los efectos indirectos relacionados con la restauración en las cadenas de valor y la economía en general, incluido el crecimiento del PIB y el empleo. Estos impactos suelen surgir de beneficios económicos como la diversificación, los daños evitados y los nuevos productos de mercado posibilitados por la restauración. ","•  Los beneficios económicos de la restauración son los resultados positivos globales para los ingresos o las finanzas que se derivan de la aplicación de actividades de restauración frente a un escenario sin cambios. 
• Algunos ejemplos de beneficios económicos incluyen un mayor ingreso, mejores oportunidades empresariales, una mayor producción de productos básicos clave o nuevas oportunidades de empleo que resultan de los esfuerzos de restauración. Una lista más completa de posibles beneficios se incluye en esta herramienta en la tabla “Beneficios de la Restauración”.
• El marco temporal de esta respuesta debe considerar el cronograma de las actividades de restauración previstas, reconociendo que los procesos de restauración y sus beneficios ocurren en el largo plazo. 
• Siempre que sea posible, distinga entre los beneficios a corto, mediano y largo plazo, incluidos los resultados esperados una vez que la restauración se haya implementado por completo.
• Tome nota de qué personas o grupos probablemente recibirían estos beneficios.
• Algunos propietarios de tierras pueden estar preocupados de que la “restauración” signifique que perderán sus tierras, sus derechos de uso o sus ingresos en relación con el statu quo. Por lo tanto, la respuesta a esta pregunta puede respaldarse con documentos que muestren cómo los beneficios netos superan los costos. Nota al margen: los derechos territoriales formalizados podrían surgir como un cobeneficio positivo del proyecto de restauración. En algunos casos, la implementación del proyecto y el desembolso de fondos para apoyar las actividades de restauración pueden requerir que se definan claramente derechos sobre la tierra. En consecuencia, esto podría acelerar los procesos de demarcación y permitir que las comunidades locales obtengan títulos legales sobre sus tierras.","• Si la respuesta es “sí”, ¿cuáles son los beneficios económicos esperados?
• Si la respuesta es “sí”, ¿quién se beneficia?
• Si la respuesta es “no”, ¿cuál es la magnitud de la brecha financiera o económica prevista?
","• Realizar un análisis costo-beneficio comparando (a) los probables beneficios generados por el área restaurada, (b) los probables costos de restaurar el paisaje objetivo, y (c) los probables costos y beneficios del uso actual del ecosistema.
• Explore metodologías de contabilidad de ecosistemas para evaluar los beneficios económicos de los servicios ecosistémicos (por ejemplo, UNSEEA) y la capacidad de las oficinas nacionales de estadística para llevar a cabo dichas evaluaciones.  "
2,Motivar,Beneficios,Sociales,2. La restauración genera beneficios sociales,"• ¿Se espera que la restauración del área objetivo  genere beneficios sociales, culturales o políticos para las personas que viven en esa área, incluidos los grupos de mujeres, los jóvenes y los pueblos indígenas?

","Se espera que la restauración del área objetivo mejore los medios de vida, eleve la posición social o política de las poblaciones salvaguarde o restaure sitios de patrimonio cultural natural o el uso de prácticas culturalmente significativas, o produzca otros beneficios sociales, culturales y/o políticos para la población local.

","• Revise la lista de posibles beneficios sociales en la La tabla ""Beneficios de la restauración"" se encuentra en los materiales de apoyo para esta herramienta. Por ejemplo, las actividades de restauración pueden reportar beneficios de índole social, cultural o política, como una mayor visibilidad de los valores culturales, el reconocimiento de los conocimientos ecológicos tradicionales, la consecución de logros políticos, el aumento de las oportunidades recreativas o la mejora de la equidad de género. La restauración también puede ser una forma de que los gobiernos sean vistos como líderes en la escena mundial y cumplan los compromisos de los acuerdos internacionales (por ejemplo, CMNUCC, CNULD, CNUDB, REDD+, ODS). Además, la restauración puede ser beneficiosa para países o comunidades con una conexión cultural histórica con los bosques u otros ecosistemas (por ejemplo, tradiciones y folclore basados en los bosques, medios de vida y empleo basados en los ecosistemas).
• Considere si los beneficios enumerados en la tabla se reconocen o se consideran en los planes, programas o actividades de restauración en el paisaje objetivo. 
• Siempre que sea posible, distinga entre los beneficios sociales a corto, mediano y largo plazo, incluidos los resultados esperados una vez que la restauración se haya implementado por completo.
• Tome nota de qué personas o grupos probablemente recibirían estos beneficios. 
","• Si la respuesta es “sí”, ¿cuáles son los beneficios sociales esperados?","• Involucrar a las comunidades que viven en el área objetivo y sus alrededores para identificar sus objetivos y prioridades sociales, políticas o culturales. Esto podría hacerse mediante encuestas o talleres presenciales. Con base en este ejercicio, co-creen un mapa de intervenciones de restauración que podrían ayudar a lograr estos objetivos. 
• Validar los planes de restauración existentes, los instrumentos de financiamiento, los sistemas de monitoreo y los indicadores con las comunidades locales, incluidos representantes de poblaciones vulnerables, para garantizar que los planes satisfagan las necesidades de la comunidad. "
3,Motivar,Beneficios,Ambiental,3. La restauración genera beneficios ambientales,• ¿Se espera que la restauración del área objetivo genere beneficios ambientales?,"Se espera que la restauración del área objetivo genere beneficios ambientales sustanciales y a largo plazo, incluida la conservación y recuperación de la biodiversidad, una mayor mitigación y adaptación al cambio climático, una menor degradación de la tierra y la desertificación, y la restauración de servicios ecosistémicos vitales como la regulación del agua, la fertilidad del suelo y el secuestro de carbono. Estas mejoras contribuirán a aumentar la resiliencia ecológica y los medios de vida sostenibles a lo largo del tiempo.","Algunos ejemplos de beneficios ambientales incluyen una mayor biodiversidad, una mayor seguridad de las cuencas hidrográficas, una mayor mitigación y adaptación al cambio climático y una mayor fertilidad del suelo, entre otros. En los materiales de apoyo para este diagnóstico se proporciona una descripción más completa de los beneficios ambientales previstos. Tabla “Beneficios de la Restauración”.
• Siempre que sea posible, distinga entre los beneficios ambientales a corto, mediano y largo plazo, incluidos los resultados esperados una vez que la restauración se haya implementado por completo.","• Si la respuesta es “sí”, ¿cuáles son los beneficios ambientales esperados?","• Involucrar a científicos (por ejemplo, biólogos, ecólogos, hidrólogos, científicos del suelo) para identificar qué beneficios ambientales podrían generarse a partir de los esfuerzos de restauración.         "
4,Motivar,Concienciación,Comunicación pública,4. Los beneficios de la restauración se comunican públicamente,"• ¿Se comunican los beneficios de restaurar el área objetivo a todas las partes interesadas, incluidos todos grupos poblacionales, y se diseñan canales de comunicación para llegar a estas diversas partes interesadas?","Los beneficios de la restauración del área objetivo se han comunicado claramente a los gestores del territorio, los grupos vulnerables y otras partes interesadas.
","• La comunicación puede realizarse a través de diversos canales, incluidos artículos, prensa, redes sociales, radio y televisión, visitas de demostración, obras de teatro callejeras u otras vías dirigidas a las partes interesadas y los responsables de la toma de decisiones pertinentes.
• La comunicación entre pares sobre los beneficios de la restauración puede ser un medio eficaz para generar conciencia y motivar la acción.
• Considere si esta comunicación está organizada como parte de una estrategia más amplia de participación de las partes interesadas.
• Una lista más completa de beneficios se incluye en los materiales de apoyo al diagnóstico en la tabla “Beneficios de la Restauración”.
","• ¿Qué beneficios podrían surgir?
• ¿Cómo se ha dirigido o incluido específicamente la comunicación a las partes interesadas clave?
","• Elaborar materiales y campañas de concienciación a través de periódicos, radio, televisión, internet o visitas a sitios, según el público objetivo.
• Introducir o aprovechar las actividades nacionales de restauración existentes, como programas públicos o escolares de plantación de árboles.
"
5,Motivar,Concienciación,Oportunidades de Restauración ,5. Se identifican oportunidades de restauración,• ¿Se han identificado y cuantificado áreas objetivo o prioritarias para la restauración?,Se han identificado y cuantificado áreas candidatas para la restauración.    ,"• Las áreas objetivo para la restauración son los lugares donde deben realizarse esfuerzos de restauración basándose en una combinación de consideraciones ambientales, sociales y económicas, incluyendo su contribución al clima global, la biodiversidad y otros objetivos ambientales.
• La información sobre estas oportunidades puede presentarse en mapas nacionales o subnacionales y/o estrategias de restauración, y debe ser coherente con las áreas que las agencias gubernamentales utilizan al asignar fondos, programas y recursos de planificación para la restauración. 
• Considerar si las partes interesadas reconocen y hacen referencia a los mismos niveles de prioridad.","• Si la respuesta es “sí”, ¿cuáles son las áreas candidatas?
• Si la respuesta es “sí”, ¿qué tan grande es la oportunidad de restauración?
",• Realizar una actividad de planificación de “Metodología de evaluación de oportunidades de restauración”. Se trata de un completo recurso de planificación de la restauración disponible en línea https://iucn.org/resources/grey-literature/guide-restoration-opportunities-assessment-methodology-roam
6,Motivar,Eventos de crisis,Eventos de crisis,6. Los eventos de crisis se aprovechan,"• ¿Está experimentando la área objetivo un acontecimiento de crisis, o el riesgo de que se produzca en el futuro, que motivaría la restauración en el paisaje objetivo, y cómo podrían afectar esos acontecimientos a los diferentes grupos de población (rural y campesina, urbana, indígena, mujeres, jóvenes, etc.) y anticiparse a ellos? ","El gobierno y/o la sociedad civil utilizan el riesgo o la ocasión de eventos de crisis, incluso considerando escenarios futuros (incluido el climático), para generar apoyo político y público para la restauración de los ecosistemas.","• Los eventos de crisis pueden incluir inundaciones, deslizamientos de tierra, sequías, incendios, tormentas de arena, escasez de madera, disminución del rendimiento de los cultivos, desempleo u otras perturbaciones que afectan a los ecosistemas y los medios de subsistencia. 
• Las crisis pueden crear oportunidades para catalizar la restauración (por ejemplo, generar impulso político después de un desastre), pero también pueden interrumpir, retrasar o detener los esfuerzos de restauración (por ejemplo, daños a la infraestructura, desvío de fondos, inestabilidad social). 
• Considere ambas dimensiones: (i) la capacidad de aprovechar las crisis para impulsar la restauración, y (ii) la resiliencia de los esfuerzos de restauración para resistir y recuperarse de las crisis. 
• Evaluar cómo los distintos grupos pueden verse afectados por los eventos de crisis y las respuestas de recuperación, incluidos los posibles impactos desproporcionados en las poblaciones vulnerables. 
• Considere si las prioridades de restauración están alineadas con los riesgos climáticos actuales y futuros, y si las inversiones se evalúan en función de su viabilidad climática a largo plazo (más allá de las decisiones de diseño técnico).
• En el contexto del cambio climático, considérense tanto los acontecimientos pasados como los escenarios futuros, incluyendo el aumento de la frecuencia e intensidad de los choques climáticos. Herramientas como SPARCLE pueden utilizarse para visualizar rápidamente los impactos del cambio climático. 
• Cuando sea pertinente, identifique medidas para mitigar los riesgos para la implementación de la restauración (por ejemplo, planificación adaptativa, financiación diversificada, preparación de la comunidad). 
Aunque las crisis no son deseables, cuando ocurren pueden brindar oportunidades para movilizar el apoyo político y comunitario para la recuperación.","• ¿Qué tipos de crisis han ocurrido en el panorama objetivo en el pasado? 
• ¿Qué tipos de crisis podrían ocurrir en el futuro?  
","• Realizar y comunicar investigaciones que cuantifiquen y visualicen hasta qué punto los ecosistemas restaurados pueden prevenir o mitigar desastres humanitarios naturales y ahorrar dinero en esfuerzos de mitigación cuando se implementan una planificación y una prevención adecuadas.

• Cuando ocurran desastres, comunicar públicamente de inmediato los beneficios de la restauración.
"
7,Motivar,Requisitos legales,Existen leyes y políticas,7. Existen leyes y políticas que exigen la restauración,"• ¿Existen leyes o políticas que obliguen a los propietarios o administradores de tierras a replantar o restaurar ecosistemas en áreas que han sido taladas (por ejemplo, bosques, pastizales, humedales)?",El gobierno tiene leyes y políticas que requieren que los administradores de tierras permitan la recuperación de la vegetación natural o replantar árboles en ecosistemas naturales que hayan sido talados en el área objetivo. ,"• Considerar si la legislación exige específicamente la restauración, como requisitos de reforestación, obligaciones de rehabilitar tierras o regulaciones de restauración de actividades extractivas. ¿Estas leyes y políticas especifican quién está obligado a restaurar, en qué situaciones y durante qué plazos? ¿Este marco legal se aplica a todos los límites del área objetivo? (Es decir, ¿los requisitos son de alcance nacional?)
• Los requisitos de restauración suelen dirigirse más a las entidades involucradas en la tala comercial, la minería u otras actividades extractivas que a las actividades de subsistencia.","• En caso afirmativo, ¿qué términos y condiciones específicos establece la ley (por ejemplo, qué restaurar, cuándo y cómo)?","• Establecer una ley gubernamental (o una política industrial) que requiera que los administradores de tierras permitan la recuperación de la vegetación o la replanten en áreas que hayan sido taladas debido a su propia actividad comercial (por ejemplo, tala, minería, etc.)."
8,Motivar,Requisitos legales,Leyes y políticas son comprendidas,8. Las leyes y políticas que exigen la restauración se comprenden y aplican ampliamente,"• ¿La ley o política que exige la restauración o rehabilitación del ecosistema se aplica de manera visible, creíble y justa, y es ampliamente comprendida por todos los actores relevantes, incluyendo a todos los grupos?","Las leyes y políticas que exigen la restauración o rehabilitación de los ecosistemas (incluidas las actividades para recuperar las funciones de los ecosistemas, reducir la degradación o apoyar la regeneración natural) en el paisaje objetivo son comprendidas por los actores pertinentes y se aplican de manera visible, creíble y justa.","• No basta con que exista una ley o política que exija la restauración o rehabilitación; es necesario que se aplique de manera justa, que las entidades afectadas la comprendan y que las autoridades la implementen para que sirva de motivación para la acción.
• Considere si los requisitos legales para la restauración o rehabilitación del paisaje se comunican a las partes interesadas clave y se complementan con acciones como campañas de comunicación, medidas coercitivas (por ejemplo, multas) por infracciones y la garantía de recursos humanos y financieros adecuados para su cumplimiento.
• Los mandatos gubernamentales de restauración o rehabilitación pueden generar susceptibilidad en torno a la participación del gobierno en decisiones sobre el uso de la tierra que, de otro modo, estarían bajo la jurisdicción de las comunidades tradicionales o los propietarios privados. Por lo tanto, la forma en que se comunican los requisitos legales y se complementan con otras políticas, incentivos y prácticas puede ser fundamental para su eficacia.",• No basta con que exista una ley que exija la restauración; es necesario que las entidades afectadas la comprendan y las autoridades la apliquen para motivar la restauración.,"• Realizar una campaña de comunicación para concientizar a los actores relevantes sobre los requerimientos de restauración.
• Adoptar medidas coercitivas (por ejemplo, multas, denegación de acceso al crédito, cárcel) contra las violaciones de los requisitos de restauración.
• Garantizar que los recursos humanos y financieros para la aplicación de la ley sean adecuados.
"
9,Habilitar,Condiciones ecológicas,"Suelo, agua, clima y fuego","9. Las condiciones del suelo, el agua, el clima y fuego son adecuadas para la restauración.","• ¿Son las condiciones de suelo, precipitaciones, temperatura, fuego y gestión del paisaje objetivo adecuadas para habilitar el crecimiento y la supervivencia de la vegetación plantada o en regeneración natural?  ","Las condiciones de suelo, pluviosidad y temperatura del área objetivo son adecuadas para el rebrote de la vegetación natural, y el régimen de incendios no dificulta la recuperación de los ecosistemas naturales. ","• Este factor clave combina múltiples condiciones ecológicas que afectan la restauración del ecosistema.  Cada condición (suelo, precipitaciones, temperatura, incendios) debe evaluarse por separado, pero la respuesta puede reflejar la suma de las cuatro.","• Si la respuesta es “no”, ¿cuáles son las deficiencias en la idoneidad física? ¿Son viables los esfuerzos para superar estas limitaciones?","• Gestionar o ajustar de forma adaptativa el plan de restauración (por ejemplo, la combinación de especies) para que coincida con el régimen hídrico y climático del paisaje.
• Implementar un programa para prevenir incendios no deseados o introducir quemas prescritas.
• Implementar un programa para mejorar la calidad del suelo (por ejemplo, plantando especies fijadoras de nitrógeno). 
• Crear diques o medialunas para almacenar agua después de las lluvias."
10,Habilitar,Condiciones ecológicas,Especies invasoras,10. Se reducen al mínimo las plantas y animales que pueden obstaculizar la restauración,• ¿Es posible eliminar o controlar eficazmente las plantas y los animales invasores no deseados que obstaculizan la recuperación del ecosistema en los  sitios de restauración objetivo?,Las especies invasoras persistentes en el área objetivo se pueden gestionar o controlar para evitar que interfieran con la vegetación replantada o en regeneración natural. Los sitios de restauración pueden protegerse del pastoreo del ganado que impide la recuperación del ecosistema.,"• Considerar si existen medidas de monitoreo o control (cercas, manejo de malezas, eliminación) para gestionar especies problemáticas o invasoras que puedan competir con o excluir a las especies utilizadas para la restauración.
• Los paisajes pueden estar libres de plantas y/o animales no deseados ya sea porque nunca existieron de forma natural en el ecosistema o porque se han minimizado con éxito mediante la gestión.
• Algunos ejemplos de especies que pueden obstaculizar los esfuerzos de restauración son Brachiaria spp. en Brasil, Imperata cylindrica en Indonesia, Pueraria montana (kudzu) en el sur de los Estados Unidos y animales de pastoreo no controlados (ganado vacuno, ovejas, cabras) en múltiples lugares.","• Si la respuesta es “no”, ¿cuáles son las especies vegetales y/o animales persistentes y cómo afectan la restauración del ecosistema?","• Implementar un programa para eliminar plantas invasoras (por ejemplo, utilizando árboles nativos de rápido crecimiento para dar sombra a las invasoras, utilizando cabras, uso apropiado del fuego).
• Implementar un programa para excluir al ganado errante no deseado (por ejemplo, incentivos y capacitación sobre cercas).
"
