id,Theme,Enabling condition,Key Factor,Question,Definition,Guidance,Follow up question(s),Examples of strategies to address gap in key factor,
1,Motivate,Benefits,1. Restoration generates economic benefits, Is restoring the target landscape or geography expected to generate economic benefits that result in a net positive financial or economy-wide economic impact relative to the status quo land use? ,"Restoring the candidate landscape is expected to yield economic benefits (e.g., economic diversification, avoided damages, new marketable products) that create a net positive financial impact (private benefits) and/or net positive economy-wide impact (public benefits) relative to the status quo land use. Side note: “economic impacts referring to environmental benefits that function as public goods, or to economy-wide economic impacts that capture restoration-related spillovers across value chains and the broader economy, including GDP growth and employment. Such impacts typically arise from economic benefits like diversification, avoided damages, and new market products enabled by restoration. "," Economic benefits from restoration are the overall positive outcomes for income or finance that result from implementing restoration activities versus a business-as-usual scenario. 
 Examples of economic benefits include increased income, improved entrepreneurship opportunities, increased production of key commodities, or new employment opportunities that result from restoration efforts. A more complete list of possible benefits is included in this tool in the “Restoration Benefits” table.
 The timeframe of this answer should consider the timeframe of the anticipated restoration activities, recognizing that restoration processes and their benefits occur over the long-term.
 Make note of which individuals or groups would likely receive these benefits.
  Some landowners may be concerned that “restoration” means they will lose their land, user rights, or income relative to the status quo. Therefore, the answer to this question can be supported with documents that show how the net benefits outweigh the costs.Side note: formalized land rights might emerge as a positive co-benefit of the restoration project. In some cases, implementing the project and disbursing finance to support restoration activities may require clear land rights to be clearly defined. Consequently, this could accelerate demarcation processes and enable local communities to obtain legal title to their land."," If “yes”, then what are the expected economic benefits?
 If “yes”, then who benefits?
 If “no”, then how big is the expected financial or economic gap?
"," Conduct a benefit-cost analysis comparing (a) likely benefits generated from the restored landscape, (b) likely costs of restoring the target landscape, and (c) likely costs and benefits of the status quo use of the landscape.",
3,Motivate,Benefits,3. Restoration generates environmental benefits, Is restoring the target landscape or geography expected to generate environmental benefits?,"Restoring the target landscape is expected to yield environmental benefits (e.g., for biodiversity conservation, climate resilience, avoid desertification, ecosystem services, or others)."," Environmental benefits may include, but are not limited to, improvements in biodiversity, watershed security, climate mitigation and adaptation, and soil fertility. A more detailed list of potential environmental benefits can be found in the supporting materials for this diagnostic, under the “Restoration Benefits” table."," If “yes”, then what are the expected environmental benefits?"," Engage scientists (e.g., biologists, ecologists, hydrologists, soil scientists) to identify which environmental benefits could be generated from restoration efforts.         ",
4,Motivate,Awareness,4. Benefits of restoration are publicly communicated," Are the benefits of restoring the target landscape communicated to all stakeholders, including vulnerable groups, and communication channels designed to reach these diverse stakeholders?","The benefits of restoring the target landscape have been clearly communicated to land managers, vulnerable groups, and other relevant stakeholders
"," Communication may be through various channels, including articles, press, social media, radio and television, demonstration visits, street plays or other pathways that target relevant stakeholders and decision makers.
 Peer-to-peer communication of restoration benefits can be an effective means of raising awareness and motivating action.
 Consider whether this communication is organized as part of a larger stakeholder engagement strategy.
 A more complete list of benefits is included in the supporting materials to diagnostic in the “Restoration Benefits” table.
"," What benefits might arise?
 How has the communication specifically targeted or included key stakeholders?
"," Produce awareness-raising materials and campaigns via newspapers, radio, television, internet, and/or site visits, depending on the target audience
 Introduce and/or leverage existing national restoration activities such as public or school tree planting programs.
",
5,Motivate,Awareness,5. Opportunities for restoration are identified, Have target or priority areas for restoration been identified and quantified?,Candidate areas for restoration have been identified and quantified.    ," Target areas for restoration are the places where restoration efforts should occur based on a combination of environmental, social, and economic considerations. 
 Information on these opportunities may be presented in national or subnational maps and/or restoration strategies, and should be consistent with the areas that government agencies use when allocating funding, programs, planning resources for restoration. 
 Consider whether stakeholders recognize and reference the same priority levels."," If “yes”, then where are the candidate areas?
 If “yes”, then how big is the restoration opportunity?
", Conduct a “Restoration Opportunities Assessment Methodology” planning activity. This is a comprehensive restoration planning resource available online https://iucn.org/resources/grey-literature/guide-restoration-opportunities-assessment-methodology-roam,
6,Motivate,Crisis events,6. Crisis events are leveraged," Is the target landscape or geography experiencing a crisis event, or the risk of one in the future, that would motivate restoration in the target landscape, and how could those events affect the different groups of population (rural and peasants, urban, indigenous, women, youth, etc)? ",The government and/or civil society use the risk or occasion of crisis events to build political and public support for ecosystem restoration.," Crisis events can include floods, landslides, droughts, fires, sandstorms, wood shortages, declining crop yields, and unemployment, among others.  Crises can include humanitarian catastrophes where damage could have been avoided if natural ecosystems were intact (e.g., a landslide), where the act of restoration could address the crisis (e.g., unemployment), or where restoration prevents future crises (e.g., floods). 
 One does not desire these events to occur.  But when they do occur, restoration supporters should act quickly to mobilize political and community support for restoration.
 In the context of climate change and resilience, be sure to consider both past climate impacts as well as future scenarios and to plan accordingly, where thresholds must now be calculated more broadly."," What types of crises have occurred in the target landscape in the past? 
 What types of crises could occur in the future?  
"," Conduct and communicate research that quantifies and visualizes the extent to which restored ecosystems can prevent or mitigate natural humanitarian disasters and save money on mitigation efforts when proper planning and prevention are implemented.
 When disasters occur, immediately publicly communicate the benefits of restoration.
",
9,Enable,Ecological conditions,"9. Soil, water, climate, and fire conditions are suitable for restoration"," Are the target landscape’s soil, rainfall, temperature, and fire and management conditions suitable for enabling growth and survival or planted or naturally regenerating vegetation?  ","The target landscape’s soil, rainfall, and temperature conditions are suitable for regrowth of natural vegetation, and the fire regime does not hinder recovery of natural ecosystems. "," This key factor combines multiple ecological conditions affecting ecosystem restoration.  Each condition (soil, rainfall, temperature, fire) should be evaluated on its own, yet the response can reflect the aggregate of the four."," If “no”, then what are the gaps in physical suitability? Are efforts to overcome these constraints feasible?"," Adaptively manage or adjust restoration plan (e.g., species mix) to match water and climate regime of landscape.
 Launch program to prevent unwanted fires or introduce prescribed fires
 Launch program to improve soil quality (e.g., plant nitrogen-fixing species). 
 Create bunds or half-moons to store water after rains",
10,Enable,Ecological conditions,10. Plants and animals that can impede restoration are minimized, Can unwanted invasive plants and animals that hinder ecosystem recovery be effectively removed or controlled In the target landscape and restoration sites?,Persistent invasive species in the target landscape can be managed or controlled to avoid interference with replanted or naturally regenerating vegetation. Restoration sites can be protected from grazing livestock that impede ecosystem recovery.," Consider whether there are monitoring or control measures (fencing, weed management, removal) in place to manage problematic or invasive species that can outcompete or exclude species used for restoration.
 Landscapes may be free of unwanted plants and/or unwanted animals either because none ever existed naturally in the landscape or because they have been successfully minimized through management.
 Examples of species that can impede restoration efforts include Brachiaria spp. in Brazil, Imperata cylindrica in Indonesia, Pueraria montana (kudzu) in southern United States, and uncontrolled grazing animals (cattle, sheep, goats) in multiple locations."," If “no”, then what are the persistent plant and/or animal species and how do they affect ecosystem restoration?"," Implement program to remove invasive plants (e.g., using fast-growing native trees to shade out invasives, using goats, appropriate use of fire).
 Implement program to exclude unwanted roaming livestock (e.g., incentives and training for fences).
",
11,Enable,Ecological conditions,"11. Native seeds, seedlings, or source populations are readily available"," Does the target landscape have source populations, soil propagules bank (such as underground root systems and seed banks), or low-cost sources of native seeds and seedlings that can be the foundation for ecosystem recovery? ","The target landscape has natural sources that support regeneration, such as nearby natural areas, regrowth from underground roots, animal-dispersed seeds, and easy access to low-cost native seeds and seedlings that support ecosystem recovery."," Viable source populations or soil propagules bank of native plants are critically important for passive restoration.  
 This key success factor applies to the entire supply chain for native seeds and seedling, including seed production, seed collection and processing, and seedling nurseries."," If “no”, then where is the gap (e.g., seeds, seed collectors, nurseries, source populations, soil propagules banks?"," Establish laws protecting remaining tracts of native vegetation in candidate landscape.
 Create financial incentives and capacity-building programs aimed at strengthening and increasing the number and quality of seedling nurseries and seed collector networks.
",
12,Enable,Economic conditions,"12. Competing economic demands for land (e.g., food, fuel) that driveland degradation are being managed "," Are the economic pressures from crop, livestock, fuelwood, and/or biofuel production on degraded lands and natural ecosystems declining in the target landscape?)","Demand for crop, livestock, fuel wood, and/or biofuel production on degraded or natural ecosystems in the target landscape is declining (e.g., due to productivity improvements elsewhere), thereby reducing pressures that drive land degradation and “freeing up” opportunities for restoration.  ","  Competing land-use pressures may come from agricultural expansion, infrastructure development, livestock grazing, fuel wood and urbanization.
 This key success factor is arguably one of the most important in light of increasing global demand for land to produce crops, livestock, and biofuel (Searchinger et al. 2013).  
 This key factor would not apply when land is restored into agroforestry or silvopastoral systems which continue to produce crops and livestock, respectively.", What are the main alternative competing land uses for the candidate areas to be restored?," Pursue technical and financial measures to increase the productivity (yields per hectare) of crops and livestock on existing nonmarginal agricultural land.
 Pursue technical and financial measures to increase the supply of timber and agricultural products and of nonbiomass renewable energy from restored landscapes.
 Avoid establishing bioenergy targets that could lead to degraded or former forestlands being converted to biomass plantations.
  Do financial measures include policy incentives? A key strategy to address this economic pressure is to redirect incentives away from harmful land-use activities and toward regenerative agricultural practices. ",
13,Enable,Economic conditions,"13. Value chains and/or market exist for commodity products (timber, agricultural products) and environmental products (carbon, water, biodiversity) from restored areas
", Are value chains in place allowing products from restored land to reach end consumers?,"To the degree that forest restoration in the target landscape generates marketable products and services, value chains are in place allowing these products to get from the restored forest to the end consumer."," This key success factor refers to both market access and market demand for products and services derived from restored forest landscapes. A “value chain” describes the multiple steps involved in offering a product or service such as harvesting, collection, processing, transportation, and distribution. A value chain from restoration suggests that individuals or groups in the target landscape can derive livelihoods and local economic activities as a part of restoring ecosystems.
 Consider if there are initiatives, cooperatives or businesses in the target landscapes that sell products or services as a result of restoration activities. Are producers in these places able to differentiate their products and services through labels, certifications, or access to preferred markets? Is there infrastructure for processing and aggregating the products and services offered from the target landscapes?
 Services from restored ecosystems could include recreation, tourism, and water provisioning."," If “no”, then where are the gaps in such a value chain?
- If """"yes,"""" what is the value chain, including the producers, intermediaries, final consumers, etc."," Encourage growth of markets (both supply and demand) for commodity products (timber, agricultural products) and environmental products (carbon, water, biodiversity) derived from restored landscapes.
 Provide low-interest financing for businesses directly involved in the “restoration value chain.”
",
